,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
674,CHEMBL195354,COc1ccc2c(c1)CC/C2=C/c1cncs1,active,243.331,3.6385000000000023,0.0,3.0,5.316043877737387
675,CHEMBL195248,Fc1ccc2c(c1)CC/C2=C\c1cncnc1,active,226.25400000000002,3.102500000000002,0.0,2.0,5.127837897834698
677,CHEMBL195580,Fc1ccc2c(c1)CC/C2=C\c1cccc2ncccc12,inactive,275.326,4.860700000000004,0.0,1.0,4.443696292860827
678,CHEMBL195653,Fc1ccc2c(c1)CC/C2=C/c1cccc2ncccc12,inactive,275.326,4.860700000000004,0.0,1.0,4.443696292860827
680,CHEMBL363849,Fc1ccc2c(c1)CC/C2=C/c1cccc2cnccc12,active,275.326,4.860700000000004,0.0,1.0,5.712175884333221
681,CHEMBL371509,Fc1ccc2c(c1)CC/C2=C\c1ccnc2ccccc12,inactive,275.326,4.860700000000004,0.0,1.0,4.443696292860827
682,CHEMBL371275,Fc1ccc2c(c1)CC/C2=C/c1ccnc2ccccc12,inactive,275.326,4.860700000000004,0.0,1.0,4.443696292860827
683,CHEMBL194928,C(=C1c2ccccc2-c2ccccc21)c1cccnc1,active,255.32000000000002,4.650900000000004,0.0,1.0,5.317845894728715
684,CHEMBL370317,C(=C(c1ccccc1)c1ccccc1)c1cccnc1,active,257.336,4.670500000000004,0.0,1.0,5.440081411093364
685,CHEMBL383145,C(=C1c2ccccc2-c2ccccc21)c1ccncc1,active,255.32000000000002,4.650900000000004,0.0,1.0,5.562233587305268
687,CHEMBL195688,CC1C/C(=C\c2cccnc2)c2ccccc21,active,221.30299999999997,4.129400000000002,0.0,1.0,5.4341403800063395
688,CHEMBL373074,CC1C/C(=C/c2cccnc2)c2ccccc21,active,221.30299999999997,4.129400000000002,0.0,1.0,5.552826458417537
689,CHEMBL193555,C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,active,283.374,5.157800000000004,0.0,1.0,5.391463269646118
690,CHEMBL364080,C(=C1\CCc2ccccc21)\c1cccnc1,active,207.27599999999998,3.5684000000000022,0.0,1.0,5.690348544150681
691,CHEMBL365735,c1cncc(-c2ccc3ccccc3c2)c1,active,205.26,3.9018000000000024,0.0,1.0,5.242065233672243
693,CHEMBL195571,Oc1ccc2cc(-c3cccnc3)ccc2c1,inactive,221.25900000000001,3.607400000000002,1.0,2.0,4.443696292860827
694,CHEMBL193534,Brc1ccc2cc(-c3cccnc3)ccc2c1,inactive,284.156,4.6643000000000026,0.0,1.0,4.443696292860827
695,CHEMBL193343,CCOc1ccc2cc(-c3cccnc3)ccc2c1,active,249.31300000000002,4.300500000000002,0.0,2.0,5.177956209426501
696,CHEMBL196796,N#Cc1ccc2cc(-c3cccnc3)ccc2c1,inactive,230.27,3.773480000000002,0.0,2.0,4.443696292860827
697,CHEMBL197576,COc1ccc2cc(-c3cccnc3)ccc2c1Cl,active,269.731,4.563800000000002,0.0,2.0,5.743498733788682
698,CHEMBL196328,COc1ccc2cc(-c3cccnc3)ccc2c1Br,active,314.182,4.672900000000002,0.0,2.0,5.040619894651811
700,CHEMBL371430,COc1ccc2ccc(-c3cccnc3)c(Cl)c2c1,inactive,269.731,4.563800000000002,0.0,2.0,4.443696292860827
701,CHEMBL438802,COC(=O)c1ccc2cc(-c3cccnc3)ccc2c1,active,263.296,3.6884000000000023,0.0,3.0,5.9023609844531615
702,CHEMBL195996,c1ccc2cc(-n3ccnc3)ccc2c1,active,194.237,3.025500000000001,0.0,2.0,5.549581519063189
709,CHEMBL197451,C[C@]12CCC(=O)C(O)=C1CCC1C2CC[C@]2(C)OC(=O)CCC12,active,318.41300000000007,3.699600000000003,1.0,4.0,5.732804796854033
713,CHEMBL446706,Oc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,active,325.75500000000005,4.021000000000003,1.0,5.0,5.835617399036831
714,CHEMBL371663,CCc1ccc(C(c2cc3ccc(OC)cc3o2)n2cncn2)cc1,active,333.39099999999996,4.233000000000003,0.0,5.0,5.910059581501365
727,CHEMBL372835,COc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,inactive,260.271,0.9991999999999999,0.0,5.0,4.602058254153509
728,CHEMBL381883,COc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,inactive,246.244,0.9748999999999999,1.0,5.0,4.602058254153509
729,CHEMBL202452,CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,330.40600000000006,2.9497000000000018,0.0,5.0,5.347743986621493
730,CHEMBL202471,CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,316.3790000000001,2.9254000000000007,1.0,5.0,5.573472473229086
731,CHEMBL202470,CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,372.48700000000014,4.120000000000004,0.0,5.0,5.402293847180586
738,CHEMBL204501,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCC1CCCCC1,active,328.3900000000002,2.9254000000000016,1.0,5.0,5.91717873906067
739,CHEMBL203869,CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,288.32500000000005,1.7777999999999998,0.0,5.0,5.551278225050279
740,CHEMBL274387,CC(C)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,274.29800000000006,1.7534999999999998,1.0,5.0,5.231354500272272
742,CHEMBL204184,CCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,274.29800000000006,1.7551,1.0,5.0,5.600308976294626
746,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.526511570124501
753,CHEMBL205782,C1=C(c2cccnc2)Cc2ccccc21,inactive,193.24900000000002,3.178300000000002,0.0,1.0,4.443696292860827
754,CHEMBL206070,CC1CC(c2cccnc2)=Cc2ccccc21,active,221.303,4.129400000000002,0.0,1.0,5.449637097668339
755,CHEMBL206550,CC1Cc2ccccc2C=C1c1cccnc1,active,221.303,3.8144000000000027,0.0,1.0,5.747851145181492
756,CHEMBL205503,CCC1=C(c2cccnc2)CCc2ccccc21,active,235.32999999999996,4.348600000000003,0.0,1.0,5.821857930162256
757,CHEMBL206283,CC1=C(c2cccnc2)CCc2ccccc21,active,221.30299999999997,3.9585000000000026,0.0,1.0,5.218596510503958
759,CHEMBL206300,COc1ccc2c(c1)C=C(c1cccnc1)C2,inactive,223.27499999999998,3.1869000000000014,0.0,2.0,4.443696292860827
760,CHEMBL205881,C1=C(c2cccnc2)CCc2ccccc21,active,207.276,3.5684000000000022,0.0,1.0,5.390074927278338
771,CHEMBL377626,COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(C#N)cc3)oc2c1,active,357.3690000000001,3.5850800000000023,0.0,6.0,5.739976339305692
772,CHEMBL377626,COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(C#N)cc3)oc2c1,active,357.3690000000001,3.5850800000000023,0.0,6.0,5.74470336809566
773,CHEMBL209047,COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(Br)cc3)oc2c1,active,411.25500000000005,4.475900000000003,0.0,5.0,5.389989635615974
774,CHEMBL209047,COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(Br)cc3)oc2c1,active,411.25500000000005,4.475900000000003,0.0,5.0,5.3872055508611005
782,CHEMBL376473,COc1cc(O)c2c(c1)O[C@]1(C)[C@@H](O)[C@@H](C)C[C@H](O)[C@@H]1C2=O,inactive,308.33000000000004,1.1123999999999996,3.0,6.0,4.548212029868944
784,CHEMBL376649,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(F)cc1)S(C)(=O)=O,active,354.35900000000004,2.7087000000000003,0.0,5.0,5.7495555998100345
785,CHEMBL222260,Cc1ccc(COc2cc([N+](=O)[O-])ccc2N(C)S(C)(=O)=O)cc1,active,350.3960000000001,2.878020000000002,0.0,5.0,5.632625440125803
787,CHEMBL374535,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1)S(C)(=O)=O,active,386.4290000000001,3.722800000000003,0.0,5.0,5.571849001255555
789,CHEMBL56367,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,inactive,308.315,2.7586000000000013,1.0,5.0,4.568634627345911
791,CHEMBL375292,Cc1ncc2c(n1)-c1ccccc1C2n1ccnc1,active,248.28900000000004,2.5996200000000007,0.0,4.0,5.54513990185595
792,CHEMBL387518,O=C1c2ccccc2-c2nnc(Cn3ccnc3)cc21,inactive,262.272,1.9327999999999999,0.0,5.0,4.5746272027174
793,CHEMBL225447,c1ccc2c(c1)-c1ccccc1C2n1ccnc1,active,232.286,3.5012000000000025,0.0,2.0,5.54513990185595
795,CHEMBL387892,COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1,active,256.26099999999997,2.0463999999999998,0.0,5.0,5.549735491440148
796,CHEMBL427247,O=c1cc(Cn2ccnc2)c2ccccc2o1,active,226.235,2.0378,0.0,4.0,5.6777600250688485
798,CHEMBL388604,COc1ccc2c(Cn3cncn3)cc(=O)oc2c1,active,257.249,1.4413999999999998,0.0,6.0,5.443685435664653
804,CHEMBL224786,O=c1oc2ccccc2c(Cn2ccnc2)c1-c1ccccc1,active,302.33299999999997,3.7048000000000023,0.0,4.0,5.289874169191321
807,CHEMBL224600,S=c1ccc2cc(Cn3ccnc3)ccc2o1,active,242.303,3.407090000000001,0.0,4.0,5.94688312507707
808,CHEMBL375292,Cc1ncc2c(n1)-c1ccccc1C2n1ccnc1,active,248.28900000000004,2.5996200000000007,0.0,4.0,5.54998504259666
809,CHEMBL387518,O=C1c2ccccc2-c2nnc(Cn3ccnc3)cc21,inactive,262.272,1.9327999999999999,0.0,5.0,4.569998354808608
810,CHEMBL225447,c1ccc2c(c1)-c1ccccc1C2n1ccnc1,active,232.286,3.5012000000000025,0.0,2.0,5.54998504259666
812,CHEMBL376371,c1ccc(C2(n3cncn3)c3ccccc3-c3ccccc32)cc1,active,309.372,4.098700000000003,0.0,3.0,5.399989277204751
813,CHEMBL387892,COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1,active,256.26099999999997,2.0463999999999998,0.0,5.0,5.54998504259666
814,CHEMBL427247,O=c1cc(Cn2ccnc2)c2ccccc2o1,active,226.235,2.0378,0.0,4.0,5.679978409630407
816,CHEMBL388604,COc1ccc2c(Cn3cncn3)cc(=O)oc2c1,active,257.249,1.4413999999999998,0.0,6.0,5.4399881042126985
818,CHEMBL375497,COc1ccc2c(OCCn3ccnc3)cc(=O)oc2c1,inactive,286.28700000000003,2.0770999999999997,0.0,6.0,3.9999995657057354
823,CHEMBL223929,O=c1ccc2ccc(Cn3cncn3)cc2o1,inactive,227.223,1.4327999999999999,0.0,5.0,4.499998579971477
824,CHEMBL390152,O=c1ccc2ccc(OCCn3ccnc3)cc2o1,inactive,256.261,2.0685,0.0,5.0,4.499998579971477
825,CHEMBL223983,COc1ccc2ccc(=O)oc2c1Cn1ccnc1,inactive,256.26099999999997,2.0463999999999998,0.0,5.0,4.499998579971477
826,CHEMBL224786,O=c1oc2ccccc2c(Cn2ccnc2)c1-c1ccccc1,active,302.33299999999997,3.7048000000000023,0.0,4.0,5.289991857175315
829,CHEMBL224600,S=c1ccc2cc(Cn3ccnc3)ccc2o1,active,242.303,3.407090000000001,0.0,4.0,5.9499606969558725
830,CHEMBL390569,COc1ccc2c(c1)CCC(Cc1cnc[nH]1)=C2C,inactive,254.33299999999997,3.380700000000002,1.0,2.0,4.769548523955817
831,CHEMBL376371,c1ccc(C2(n3cncn3)c3ccccc3-c3ccccc32)cc1,active,309.372,4.098700000000003,0.0,3.0,5.397929151445704
836,CHEMBL26065,O=C1/C(=C/c2ccncc2)Cc2cc(O)ccc21,inactive,237.25799999999998,2.6096000000000013,1.0,3.0,4.659997940245995
847,CHEMBL285155,COc1ccc2c(c1)C/C(=C/c1ccncc1)C2=O,active,251.285,2.912600000000001,0.0,3.0,5.199993354056461
848,CHEMBL442262,COc1ccc2c(c1)C/C(=C\c1ccncc1)C2=O,active,251.285,2.912600000000001,0.0,3.0,5.31999101016601
849,CHEMBL23334,COc1cccc2c1C/C(=C/c1ccncc1)C2=O,active,251.285,2.912600000000001,0.0,3.0,5.429988578759022
850,CHEMBL288093,COc1cccc2c1C/C(=C\c1ccncc1)C2=O,inactive,251.285,2.912600000000001,0.0,3.0,4.639998038413216
851,CHEMBL285973,O=C1/C(=C\c2ccncc2)Cc2ccccc21,active,221.259,2.904000000000001,0.0,2.0,5.259991997524754
852,CHEMBL23150,O=C1/C(=C/c2ccncc2)Cc2ccccc21,inactive,221.259,2.904000000000001,0.0,2.0,4.599998345651849
853,CHEMBL376039,O=C1/C(=C/c2ccncc2)CCc2c1ccc1c2CCCC1,inactive,289.37800000000004,4.172900000000003,0.0,2.0,4.999995657076895
854,CHEMBL388959,O=C1/C(=C\c2ccncc2)CCc2ccccc21,inactive,235.28599999999997,3.294100000000002,0.0,2.0,4.919996544706614
855,CHEMBL419131,COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2,active,265.312,3.3027000000000015,0.0,3.0,5.51998586679638
856,CHEMBL91992,O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21,active,251.28499999999997,2.9997000000000016,1.0,3.0,5.0599948092002185
858,CHEMBL419131,COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2,inactive,265.312,3.3027000000000015,0.0,3.0,4.889996477682752
859,CHEMBL328217,COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O,active,265.312,3.3027000000000015,0.0,3.0,5.049995097016858
860,CHEMBL91101,COc1cccc2c1CC/C(=C\c1ccncc1)C2=O,active,265.312,3.3027000000000015,0.0,3.0,5.199993354056461
861,CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,active,235.28599999999997,3.294100000000002,0.0,2.0,5.029995486451599
876,CHEMBL349822,N#Cc1ccc(Cn2ccnc2)cc1,active,183.21400000000003,1.80308,0.0,3.0,5.959959679270381
880,CHEMBL163922,N#Cc1cccc(Cn2ccnc2)c1,active,183.21400000000003,1.80308,0.0,3.0,5.429988578759022
889,CHEMBL287677,N#Cc1ccc([C@H]2CCCc3cncn32)cc1,active,223.279,2.680480000000001,0.0,3.0,5.6399805978118085
893,CHEMBL442373,N#Cc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,active,301.30500000000006,3.062680000000001,0.0,5.0,5.6399805978118085
898,CHEMBL223607,O=c1ccoc2cc(Cn3cncn3)ccc12,active,227.223,1.4327999999999999,0.0,5.0,5.429988578759022
900,CHEMBL161530,O=c1ccoc2c(Cn3ccnc3)ccc(Br)c12,active,305.13100000000003,2.800300000000001,0.0,4.0,5.679978409630407
901,CHEMBL351167,O=c1ccoc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,active,271.2320000000001,1.9459999999999997,0.0,6.0,5.959959679270381
903,CHEMBL2096873,COc1cc2c(cc1Br)CC[C@@H]1[C@@H](c3ccncc3)[C@H]21,active,330.22499999999997,4.296100000000004,0.0,2.0,5.54998504259666
905,CHEMBL2096872,COc1ccc2c(c1)[C@@H]1[C@H](CC2)[C@H]1c1ccncc1,inactive,251.32899999999998,3.5336000000000016,0.0,2.0,4.999995657076895
911,CHEMBL229944,COCOc1ccc(C(=O)/C=C/c2ccc(OCOC)c(CC=C(C)C)c2)c(O)c1,inactive,412.4820000000002,4.762400000000006,1.0,6.0,3.6154672053413983
913,CHEMBL228985,COc1ccc2c(c1)OC(c1ccc(OCC=C(C)C)cc1)CC2=O,inactive,338.4030000000001,4.746700000000004,0.0,4.0,4.54287385783717
914,CHEMBL390364,COc1ccc(C(=O)/C=C/c2ccc(OCC=C(C)C)cc2)c(O)c1,inactive,338.403,4.641900000000005,1.0,4.0,3.5663899966562367
915,CHEMBL229908,COc1ccc(C2CC(=O)c3ccc(OC)cc3O2)cc1,active,284.311,3.410300000000002,0.0,4.0,5.730463707244033
916,CHEMBL229907,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1,inactive,284.311,3.305500000000002,1.0,4.0,3.4538275081987186
917,CHEMBL229906,COc1ccc2c(c1)OC(c1cccc(CC=C(C)C)c1)CC2=O,active,322.4040000000001,4.910400000000004,0.0,3.0,5.330673819865748
918,CHEMBL229905,COc1ccc(C(=O)/C=C/c2cccc(CC=C(C)C)c2)c(O)c1,inactive,322.40400000000005,4.8056000000000045,1.0,3.0,3.508358066517768
919,CHEMBL1162951,COc1ccc(C2CC(=O)c3ccccc3O2)cc1CC=C(C)C,inactive,322.4040000000001,4.9104000000000045,0.0,3.0,4.917211040487787
920,CHEMBL388375,COc1ccc(/C=C/C(O)c2ccccc2O)cc1CC=C(C)C,inactive,324.42000000000013,4.656300000000003,2.0,3.0,3.5084000699359437
921,CHEMBL229635,COc1ccc2c(c1)OC(c1ccc(OC)c(CC=C(C)C)c1)CC2=O,active,352.4300000000001,4.919000000000004,0.0,4.0,5.4353221022720195
922,CHEMBL229633,COc1ccc(C(=O)/C=C/c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,inactive,352.43000000000006,4.814200000000005,1.0,4.0,3.547063976743524
923,CHEMBL388374,COc1ccc2c(c1)OC(c1ccc(O)c(CC=C(C)C)c1)CC2=O,active,338.40300000000013,4.616000000000003,1.0,4.0,5.32329724742965
924,CHEMBL229841,COc1ccc(C(=O)/C=C/c2ccc(O)c(CC=C(C)C)c2)c(O)c1,inactive,338.4030000000001,4.511200000000004,2.0,4.0,3.529442367813383
925,CHEMBL229790,COCOc1ccc(C2CC(=O)c3ccc(OC)cc3O2)cc1CC=C(C)C,inactive,382.45600000000013,4.893100000000005,0.0,5.0,4.599632999149591
926,CHEMBL390731,COCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1CC=C(C)C,inactive,382.45600000000013,4.788300000000004,1.0,5.0,3.582528140718543
927,CHEMBL229789,COc1ccc(C2CC(=O)c3ccc(O)cc3O2)cc1CC=C(C)C,active,338.40300000000013,4.616000000000004,1.0,4.0,5.38932919256797
928,CHEMBL389925,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1CC=C(C)C,inactive,338.40300000000013,4.511200000000003,2.0,4.0,4.081235445347429
929,CHEMBL425670,COCOc1ccc2c(c1)OC(c1ccc(OC)c(CC=C(C)C)c1)CC2=O,active,382.4560000000002,4.893100000000005,0.0,5.0,5.115198973839144
930,CHEMBL229893,COCOc1ccc(C(=O)/C=C/c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,inactive,382.45600000000013,4.788300000000006,1.0,5.0,3.582528140718543
931,CHEMBL558103,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)ccc1O,inactive,324.37600000000003,4.313000000000004,2.0,4.0,4.387745033356672
932,CHEMBL229885,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,inactive,324.37600000000003,4.208200000000005,3.0,4.0,3.5110263344060213
933,CHEMBL229945,COCOc1ccc2c(c1)OC(c1ccc(OCOC)c(CC=C(C)C)c1)CC2=O,inactive,412.48200000000026,4.867200000000005,0.0,6.0,4.8554226791794495
934,CHEMBL229094,COc1ccc(C(=O)CC(O)c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,inactive,370.44500000000016,4.224500000000004,2.0,5.0,4.262250131716483
935,CHEMBL229861,CC[C@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,inactive,319.79200000000003,2.6739000000000006,1.0,3.0,3.9999995657057354
972,CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,inactive,224.259,3.3931000000000022,0.0,2.0,4.552840417608829
973,CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,active,272.303,4.613200000000003,0.0,2.0,5.698948290154774
974,CHEMBL404225,O=C1CC(c2ccccc2)Oc2c1ccc1ccccc21,active,274.319,4.546300000000003,0.0,2.0,5.36652144466618
975,CHEMBL97542,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,active,240.25799999999998,3.098700000000002,1.0,3.0,5.420204974731411
976,CHEMBL9687,COc1ccc2c(c1)OC(c1ccccc1)CC2=O,active,254.285,3.4017000000000017,0.0,3.0,5.096904584360962
979,CHEMBL255108,N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,active,299.32900000000006,4.417980000000003,0.0,3.0,5.812451079138729
980,CHEMBL258257,N#Cc1cccc(C2CC(=O)c3ccc4ccccc4c3O2)c1,active,299.32900000000006,4.417980000000003,0.0,3.0,5.863247733673337
981,CHEMBL252642,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,active,256.257,2.8043000000000013,2.0,4.0,5.6777600250688485
982,CHEMBL255110,O=C1CC(c2cccc(O)c2)Oc2cc(O)ccc21,active,256.257,2.8043000000000013,2.0,4.0,5.46850830977847
983,CHEMBL402970,COc1ccc2c(c1)OC(c1ccc(O)cc1)CC2=O,active,270.284,3.1073000000000013,1.0,4.0,5.431786538402919
984,CHEMBL256407,COc1ccc2c(c1)OC(c1cccc(O)c1)CC2=O,active,270.284,3.1073000000000013,1.0,4.0,5.455919547413215
987,CHEMBL270283,CN(c1ccc(NC(=O)c2ccc3ccccc3c2)cc1OCc1ccccc1)S(C)(=O)=O,active,460.55500000000023,5.066900000000005,1.0,4.0,5.970575635941984
992,CHEMBL443066,CN(c1ccc(NC(=O)c2ccccc2)cc1OCc1ccccc1)S(C)(=O)=O,active,410.4950000000001,3.913700000000003,1.0,4.0,5.75200219791988
993,CHEMBL272456,CC(=O)Nc1ccc(N(C)S(C)(=O)=O)c(OCc2ccccc2)c1,inactive,348.42400000000004,2.6198000000000006,1.0,4.0,4.778061794933967
994,CHEMBL272398,CN(c1ccc(N)cc1OCc1ccccc1)S(C)(=O)=O,active,306.38700000000006,2.2436,1.0,4.0,5.958567835319735
995,CHEMBL272464,Cc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,inactive,398.44000000000017,4.283020000000003,1.0,5.0,4.760197681304014
996,CHEMBL405881,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,active,429.41000000000014,3.8828000000000022,1.0,7.0,5.663520253042004
997,CHEMBL270488,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc(-c2ccccc2)cc1,inactive,424.4560000000001,6.093100000000004,1.0,4.0,4.602058254153509
998,CHEMBL269877,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc2ccccc2c1,inactive,398.41800000000006,5.5793000000000035,1.0,4.0,4.602058254153509
999,CHEMBL407092,N#Cc1ccc(C(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,inactive,373.3680000000001,4.297780000000002,1.0,5.0,4.602058254153509
1000,CHEMBL273049,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc(Cl)c(Cl)c1,inactive,417.24800000000005,5.7329000000000025,1.0,4.0,4.602058254153509
1001,CHEMBL260098,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1,inactive,427.80000000000007,4.987700000000003,1.0,6.0,4.602058254153509
1002,CHEMBL270301,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1cccc([N+](=O)[O-])c1,inactive,393.3550000000001,4.3343000000000025,1.0,6.0,4.602058254153509
1003,CHEMBL409448,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc([N+](=O)[O-])cc1,inactive,393.3550000000001,4.3343000000000025,1.0,6.0,4.602058254153509
1004,CHEMBL404981,CC(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,active,286.287,3.132200000000002,1.0,4.0,5.928081189636194
1005,CHEMBL260955,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)C1CCCCC1,inactive,354.4060000000002,4.692600000000004,1.0,4.0,4.602058254153509
1006,CHEMBL407953,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccccc1,inactive,348.358,4.426100000000003,1.0,4.0,4.602058254153509
1007,CHEMBL222189,CN(c1ccc([N+](=O)[O-])cc1OCc1cccc2ccccc12)S(C)(=O)=O,active,386.4290000000001,3.722800000000002,0.0,5.0,5.93177702065355
1008,CHEMBL220885,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1cccc2ccccc12,active,372.4020000000001,3.698500000000002,1.0,5.0,5.241080541561976
1014,CHEMBL220829,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc(Br)cc1,active,401.23800000000006,3.307800000000001,1.0,5.0,5.232836710143973
1015,CHEMBL220792,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(Cl)cc1)S(C)(=O)=O,active,370.8140000000001,3.2230000000000016,0.0,5.0,5.619770663061963
1017,CHEMBL376649,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(F)cc1)S(C)(=O)=O,active,354.35900000000004,2.7087000000000003,0.0,5.0,5.7495555998100345
1019,CHEMBL223421,CC(C)c1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,active,364.42300000000006,3.668700000000002,1.0,5.0,5.127837897834698
1021,CHEMBL223369,COc1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,active,352.3680000000001,2.5539000000000005,1.0,6.0,5.106787693337785
1022,CHEMBL222260,Cc1ccc(COc2cc([N+](=O)[O-])ccc2N(C)S(C)(=O)=O)cc1,active,350.3960000000001,2.878020000000002,0.0,5.0,5.632625440125803
1023,CHEMBL387386,Cc1ccc(COc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,active,336.3690000000001,2.853720000000001,1.0,5.0,5.7569371351951935
1026,CHEMBL374535,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1)S(C)(=O)=O,active,386.4290000000001,3.722800000000003,0.0,5.0,5.571849001255555
1027,CHEMBL223161,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1,active,372.4020000000001,3.698500000000002,1.0,5.0,5.663520253042004
1031,CHEMBL223108,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,active,322.34200000000004,2.5453,1.0,5.0,5.669565932990288
1032,CHEMBL203869,CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,288.32500000000005,1.7777999999999998,0.0,5.0,5.551278225050279
1033,CHEMBL274387,CC(C)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,274.29800000000006,1.7534999999999998,1.0,5.0,5.231354500272272
1034,CHEMBL202470,CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,372.48700000000014,4.120000000000004,0.0,5.0,5.402293847180586
1036,CHEMBL202452,CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,active,330.40600000000006,2.9497000000000018,0.0,5.0,5.347743986621493
1037,CHEMBL202471,CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,316.3790000000001,2.9254000000000007,1.0,5.0,5.573472473229086
1039,CHEMBL204184,CCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,active,274.29800000000006,1.7551,1.0,5.0,5.600308976294626
1043,CHEMBL204501,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCC1CCCCC1,active,328.3900000000002,2.9254000000000016,1.0,5.0,5.91717873906067
