,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
441,CHEMBL97542,O=C1CC(c2ccccc2)Oc2cc(O)ccc21,active,240.25799999999998,3.098700000000002,1.0,3.0,5.420204974731411
442,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.431797102165721
443,CHEMBL151691,CN1C(=O)CC(C)(c2ccc(N)cc2)C1=O,inactive,218.256,0.9152000000000001,1.0,3.0,4.805205469014377
444,CHEMBL151691,CN1C(=O)CC(C)(c2ccc(N)cc2)C1=O,inactive,218.256,0.9152000000000001,1.0,3.0,4.998261961570291
445,CHEMBL2111801,CCCCCCCC[C@H]1C[C@@](CC)(c2ccncc2)C(=O)NC1=O,active,330.47200000000004,4.142700000000002,1.0,3.0,5.522864269038877
448,CHEMBL149238,CC1(c2ccc(N)cc2)CC(=O)NC1=O,inactive,204.22899999999998,0.573,2.0,3.0,4.903086512649986
449,CHEMBL149238,CC1(c2ccc(N)cc2)CC(=O)NC1=O,inactive,204.22899999999998,0.573,2.0,3.0,4.998261961570291
450,CHEMBL148903,Nc1ccc(C2CC(=O)NC2=O)cc1,inactive,190.202,0.39889999999999964,2.0,3.0,4.698967832869038
451,CHEMBL148903,Nc1ccc(C2CC(=O)NC2=O)cc1,inactive,190.202,0.39889999999999964,2.0,3.0,4.9913955704699156
453,CHEMBL113647,O=C(OCc1cccnc1)C12CC3CC(CC(C3)C1)C2,active,271.36,3.3412000000000024,0.0,3.0,5.096904584360962
454,CHEMBL110524,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,active,285.38699999999994,3.902200000000003,0.0,3.0,5.251804217804437
455,CHEMBL112908,CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,inactive,299.41399999999993,4.076300000000003,0.0,3.0,4.698967832869038
456,CHEMBL112292,C[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,inactive,285.38699999999994,3.902200000000003,0.0,3.0,4.795877303012046
457,CHEMBL112509,C[C@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,active,285.38699999999994,3.902200000000003,0.0,3.0,5.337232727236657
458,CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,531.4399999999999,4.205800000000003,0.0,7.0,4.795877303012046
459,CHEMBL317935,C[C@H](NC(=O)/C=C/c1ccccc1)c1cccc(N2CCOCC2)c1,inactive,336.4350000000002,3.413800000000002,1.0,3.0,4.886053306979228
460,CHEMBL114447,O=C(NCc1ccncc1)C12CC3CC(CC(C3)C1)C2,active,270.376,2.914200000000001,1.0,2.0,5.8238797889439144
462,CHEMBL325461,C[C@@H](OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,inactive,285.38699999999994,3.902200000000003,0.0,3.0,4.443696292860827
463,CHEMBL109347,O=C(NCc1cccnc1)C12CC3CC(CC(C3)C1)C2,active,270.376,2.914200000000001,1.0,2.0,5.494836450189588
